order_date,order_count,subtotal,tax_amount,shipping_cost,discount_amount,total_revenue
2024-01-19,1,2308.51,415.53,27.44,0.00,2751.48
2024-01-20,1,2864.00,515.52,35.72,85.92,3329.32
2024-01-20,1,20904.58,3762.82,8.69,627.14,24048.95
2024-01-20,1,18706.80,3367.22,167.18,561.20,21680.00
2024-01-21,1,15181.19,1821.74,30.53,0.00,17033.46
2024-01-22,1,4286.83,771.63,62.37,214.34,4906.49
2024-01-22,1,7901.35,948.16,13.86,0.00,8863.37
2024-01-22,1,1809.60,90.48,33.63,90.48,1843.23
2024-01-22,1,7590.70,1366.33,26.72,0.00,8983.75
2024-01-23,1,16114.99,805.75,144.47,483.45,16581.76
2024-01-23,1,229362.71,41285.29,1619.91,0.00,272267.91
2024-01-23,1,7726.40,927.17,24.58,231.79,8446.36
2024-01-23,1,89569.13,16122.44,3310.69,4478.46,104523.80
2024-01-23,1,631372.86,113647.11,914.74,31568.64,714366.07
2024-01-24,1,7255.94,362.80,12.94,0.00,7631.68
2024-01-24,1,23922.64,4306.08,181.69,0.00,28410.41
2024-01-24,1,7267.75,872.13,22.08,0.00,8161.96
2024-01-24,1,2262.66,113.13,26.87,0.00,2402.66
2024-01-24,1,5289.24,634.71,45.08,0.00,5969.03
2024-01-25,1,17718.40,885.92,58.52,531.55,18131.29
2024-01-25,1,9998.15,1199.78,4.73,0.00,11202.66
2024-01-25,1,548.01,27.40,39.27,0.00,614.68
2024-01-26,1,346055.63,62290.01,3282.09,17302.78,394324.95
2024-01-26,1,4516.02,541.92,47.63,225.80,4879.77
2024-01-26,1,13048.89,652.44,23.26,0.00,13724.59
2024-01-27,1,24635.24,2956.23,134.47,1231.76,26494.18
2024-01-27,1,6424.71,770.97,19.14,0.00,7214.82
2024-01-27,1,1452.07,174.25,3.46,43.56,1586.22
2024-01-27,1,6098.51,1097.73,13.54,182.96,7026.82
2024-01-27,1,1759.96,211.20,1.27,0.00,1972.43
2024-01-28,1,3248.36,162.42,43.12,0.00,3453.90
2024-01-29,1,9423.28,1696.19,7.76,471.16,10656.07
2024-01-30,1,5416.75,650.01,46.27,0.00,6113.03
2024-01-30,1,10598.72,529.94,43.59,317.96,10854.29
2024-01-30,1,1432.73,71.64,2.41,42.98,1463.80
2024-01-31,1,8395.72,1007.49,19.71,419.79,9003.13
2024-01-31,1,19889.94,994.50,107.97,0.00,20992.41
2024-01-31,1,4185.93,502.31,107.20,0.00,4795.44
2024-01-31,1,15774.74,1892.97,0.30,473.24,17194.77
2024-02-01,1,2000.02,240.00,19.80,0.00,2259.82
2024-02-02,1,1494.62,179.35,8.19,74.73,1607.43
2024-02-03,1,1564.24,281.56,25.52,0.00,1871.32
2024-02-03,1,233023.58,27962.83,3397.86,6990.71,257393.56
2024-02-04,1,5208.98,625.08,65.47,156.27,5743.26
2024-02-04,1,3137.25,156.86,36.08,0.00,3330.19
2024-02-05,1,3045.78,152.29,1.55,91.37,3108.25
2024-02-05,1,56712.39,2835.62,2363.34,0.00,61911.35
2024-02-06,1,25593.77,4606.88,74.93,0.00,30275.58
2024-02-07,1,5067.01,608.04,14.74,152.01,5537.78
2024-02-07,1,2631.70,473.71,126.78,0.00,3232.19
2024-02-08,1,10370.27,1244.43,10.97,0.00,11625.67
2024-02-08,1,13781.89,2480.74,54.26,0.00,16316.89
2024-02-10,1,572556.50,28627.83,3875.35,28627.83,576431.85
2024-02-10,1,8362.98,1003.56,159.28,0.00,9525.82
2024-02-10,1,10213.02,1225.56,33.45,0.00,11472.03
2024-02-10,1,3145.59,566.21,5.94,94.37,3623.37
2024-02-11,1,6651.12,1197.20,0.06,332.56,7515.82
2024-02-11,1,1159.76,139.17,31.79,0.00,1330.72
2024-02-11,1,9975.97,498.80,27.57,0.00,10502.34
2024-02-11,1,7810.57,937.27,5.23,234.32,8518.75
2024-02-11,1,6682.97,801.96,18.27,334.15,7169.05
2024-02-12,1,769.78,38.49,4.83,23.09,790.01
2024-02-12,1,36.85,6.63,35.91,0.00,79.39
2024-02-12,1,1010.23,181.84,1.95,30.31,1163.71
2024-02-12,1,2000.30,100.02,12.47,60.01,2052.78
2024-02-13,1,8082.38,404.12,15.59,0.00,8502.09
2024-02-13,1,2405.70,120.28,31.23,0.00,2557.21
2024-02-14,1,4921.52,590.58,23.94,147.65,5388.39
2024-02-15,1,296585.70,53385.43,2112.04,8897.57,343185.60
2024-02-15,1,202548.81,24305.86,3050.05,10127.44,219777.28
2024-02-15,1,10045.35,1808.16,18.95,502.27,11370.19
2024-02-16,1,3024.42,151.22,39.87,0.00,3215.51
2024-02-17,1,6906.05,828.73,28.75,0.00,7763.53
2024-02-18,1,3771.06,188.55,42.95,188.55,3814.01
2024-02-18,1,272604.50,32712.54,2836.43,0.00,308153.47
2024-02-19,1,601680.00,30084.00,702.82,18050.40,614416.42
2024-02-20,1,808.29,145.49,13.52,0.00,967.30
2024-02-20,1,994.47,119.34,32.87,0.00,1146.68
2024-02-21,1,16014.64,2882.64,35.11,0.00,18932.39
2024-02-22,1,3357.14,402.86,33.19,100.71,3692.48
2024-02-22,1,40301.15,7254.21,133.76,0.00,47689.12
2024-02-22,1,7347.16,1322.49,9.46,0.00,8679.11
2024-02-22,1,5672.69,1021.08,16.36,283.63,6426.50
2024-02-23,1,626421.73,112755.91,2973.92,31321.09,710830.47
2024-02-23,1,4906.64,245.33,18.03,0.00,5170.00
2024-02-23,1,19454.77,3501.86,124.03,583.64,22497.02
2024-02-23,1,290744.13,52333.94,712.35,0.00,343790.42
2024-02-23,1,94.82,11.38,15.40,2.84,118.76
2024-02-23,1,26151.21,3138.15,102.38,0.00,29391.74
2024-02-24,1,9390.09,1126.81,16.94,281.70,10252.14
2024-02-24,1,8644.64,432.23,38.26,0.00,9115.13
2024-02-24,1,18752.08,2250.25,1316.63,0.00,22318.96
2024-02-25,1,3808.37,685.51,29.55,0.00,4523.43
2024-02-25,1,411.08,49.33,0.22,12.33,448.30
2024-02-25,1,6960.98,835.32,39.26,208.83,7626.73
2024-02-25,1,438507.73,78931.39,2509.59,21925.39,498023.32
2024-02-26,1,1804.50,216.54,9.35,0.00,2030.39
2024-02-26,1,40330.49,7259.49,163.13,0.00,47753.11
2024-02-28,1,14218.47,1706.22,27.15,426.55,15525.29
2024-02-28,1,821769.48,98612.34,824.62,0.00,921206.44
2024-03-01,1,141163.24,16939.59,649.60,0.00,158752.43
2024-03-01,1,647.73,116.59,7.61,19.43,752.50
2024-03-01,1,2752.83,495.51,41.95,137.64,3152.65
2024-03-02,1,9332.95,1119.95,41.36,0.00,10494.26
2024-03-03,1,114.95,20.69,81.44,0.00,217.08
2024-03-03,1,9312.93,1117.55,8.36,0.00,10438.84
2024-03-03,1,637.92,76.55,7.72,19.14,703.05
2024-03-05,1,408015.91,20400.80,814.52,12240.48,416990.75
2024-03-06,1,6000.63,1080.11,14.84,300.03,6795.55
2024-03-06,1,636.32,31.82,37.15,19.09,686.20
2024-03-07,1,842956.13,151732.10,307.39,42147.81,952847.81
2024-03-07,1,2026.05,364.69,30.95,101.30,2320.39
2024-03-07,1,6929.76,346.49,85.41,0.00,7361.66
2024-03-07,1,423805.42,21190.27,3417.75,0.00,448413.44
2024-03-07,1,3755.90,450.71,8.84,187.80,4027.65
2024-03-08,1,5899.48,294.97,13.37,0.00,6207.82
2024-03-08,1,5469.83,273.49,47.34,0.00,5790.66
2024-03-09,1,3273.94,589.31,41.61,0.00,3904.86
2024-03-09,1,111.20,20.02,5.08,5.56,130.74
2024-03-09,1,108061.59,12967.39,3994.45,3241.85,121781.58
2024-03-10,1,774018.80,92882.26,1537.04,0.00,868438.10
2024-03-10,1,4382.46,788.84,106.91,219.12,5059.09
2024-03-11,1,7153.00,858.36,16.13,0.00,8027.49
2024-03-11,1,1317.40,237.13,38.67,0.00,1593.20
2024-03-11,1,6106.34,1099.14,22.33,0.00,7227.81
2024-03-11,1,6282.83,314.14,36.19,0.00,6633.16
2024-03-12,1,1129.03,135.48,15.37,56.45,1223.43
2024-03-12,1,10981.77,1976.72,9.87,549.09,12419.27
2024-03-13,1,4449.37,800.89,39.60,222.47,5067.39
2024-03-13,1,2798.01,335.76,36.56,0.00,3170.33
2024-03-13,1,198580.23,9929.01,331.60,0.00,208840.84
2024-03-13,1,3038.09,546.86,31.23,91.14,3525.04
2024-03-16,1,5452.29,981.41,49.98,0.00,6483.68
2024-03-16,1,78515.27,3925.76,622.80,0.00,83063.83
2024-03-17,1,4557.95,820.43,108.18,0.00,5486.56
2024-03-17,1,7861.39,1415.05,32.60,0.00,9309.04
2024-03-18,1,39.66,7.14,44.13,1.19,89.74
2024-03-19,1,7496.93,374.85,10.81,0.00,7882.59
2024-03-19,1,55241.36,2762.07,4118.38,2762.07,59359.74
2024-03-20,1,16107.54,1932.90,153.79,0.00,18194.23
2024-03-20,1,6786.19,1221.51,25.21,0.00,8032.91
2024-03-21,1,6661.91,799.43,106.73,333.10,7234.97
2024-03-21,1,4138.35,206.92,12.77,0.00,4358.04
2024-03-21,1,11379.75,568.99,35.62,568.99,11415.37
2024-03-23,1,1112.92,55.65,89.68,0.00,1258.25
2024-03-24,1,9433.98,1698.12,31.63,0.00,11163.73
2024-03-24,1,1052.21,189.40,40.77,31.57,1250.81
2024-03-25,1,9686.18,1162.34,44.12,484.31,10408.33
2024-03-25,1,2088.79,250.65,57.76,104.44,2292.76
2024-03-25,1,8438.68,421.93,53.39,0.00,8914.00
2024-03-25,1,3586.76,430.41,44.73,179.34,3882.56
2024-03-27,1,1520.37,273.67,39.07,0.00,1833.11
2024-03-27,1,27579.94,1379.00,123.88,827.40,28255.42
2024-03-27,1,2942.23,529.60,10.50,0.00,3482.33
2024-03-28,1,5374.64,967.44,176.91,0.00,6518.99
2024-03-28,1,443862.03,53263.44,139.21,0.00,497264.68
2024-03-28,1,56985.83,10257.45,523.32,0.00,67766.60
2024-03-28,1,4602.48,552.30,8.12,0.00,5162.90
2024-03-28,1,25636.85,4614.63,146.15,0.00,30397.63
2024-03-29,1,2181.56,261.79,52.87,0.00,2496.22
2024-03-29,1,3678.17,183.91,26.26,0.00,3888.34
2024-03-30,1,8617.04,430.85,4.94,0.00,9052.83
2024-03-31,1,6699.61,1205.93,57.50,200.99,7762.05
2024-03-31,1,583294.64,29164.73,3100.03,0.00,615559.40
2024-04-01,1,306122.98,15306.15,3717.91,15306.15,309840.89
2024-04-01,1,3002.42,360.29,44.10,0.00,3406.81
2024-04-01,1,5283.62,264.18,16.64,0.00,5564.44
2024-04-02,1,10330.69,1859.52,35.73,0.00,12225.94
2024-04-03,1,7957.73,1432.39,14.79,397.89,9007.02
2024-04-03,1,471.00,84.78,31.08,14.13,572.73
2024-04-03,1,8529.68,426.48,44.62,255.89,8744.89
2024-04-04,1,3115.32,560.76,20.25,0.00,3696.33
2024-04-04,1,6984.40,1257.19,2.42,0.00,8244.01
2024-04-05,1,11618.62,1394.23,63.35,348.56,12727.64
2024-04-05,1,7847.50,392.38,17.13,392.38,7864.63
2024-04-06,1,2848.20,512.68,5.86,0.00,3366.74
2024-04-06,1,241698.63,43505.75,231.58,0.00,285435.96
2024-04-06,1,5528.30,276.42,33.13,0.00,5837.85
2024-04-08,1,3998.38,719.71,130.13,119.95,4728.27
2024-04-09,1,6174.33,1111.38,8.60,0.00,7294.31
2024-04-12,1,3934.47,472.14,40.78,0.00,4447.39
2024-04-12,1,5207.87,260.39,16.65,156.24,5328.67
2024-04-12,1,8515.92,1532.87,22.39,0.00,10071.18
2024-04-13,1,32938.61,5928.95,81.69,1646.93,37302.32
2024-04-13,1,2643.86,132.19,40.40,79.32,2737.13
2024-04-13,1,2485.59,124.28,45.84,0.00,2655.71
2024-04-14,1,380.66,45.68,13.86,19.03,421.17
2024-04-15,1,3521.97,176.10,37.08,0.00,3735.15
2024-04-15,1,13394.86,2411.07,158.44,0.00,15964.37
2024-04-15,1,874586.12,157425.50,3866.85,0.00,1035878.47
2024-04-16,1,3827.70,459.32,44.83,191.39,4140.46
2024-04-16,1,18085.90,3255.46,167.29,0.00,21508.65
2024-04-17,1,3672.93,183.65,37.41,0.00,3893.99
2024-04-17,1,2837.48,340.50,16.49,0.00,3194.47
2024-04-17,1,5287.62,264.38,22.66,0.00,5574.66
2024-04-17,1,6724.20,336.21,26.59,0.00,7087.00
2024-04-18,1,302.71,15.14,131.43,0.00,449.28
2024-04-18,1,236027.52,28323.30,3213.53,0.00,267564.35
2024-04-19,1,7724.82,926.98,35.49,386.24,8301.05
2024-04-20,1,8496.75,1019.61,34.78,254.90,9296.24
2024-04-21,1,4729.16,567.50,32.47,141.87,5187.26
2024-04-23,1,10390.93,519.55,92.90,519.55,10483.83
2024-04-23,1,8150.15,407.51,27.56,0.00,8585.22
2024-04-23,1,15628.34,2813.10,41.16,0.00,18482.60
2024-04-23,1,3039.61,151.98,27.79,0.00,3219.38
2024-04-24,1,6052.29,302.61,35.28,181.57,6208.61
2024-04-24,1,2938.54,352.62,16.99,88.16,3219.99
2024-04-24,1,28298.48,3395.82,99.85,1414.92,30379.23
2024-04-24,1,334018.59,60123.35,3119.00,0.00,397260.94
2024-04-25,1,11992.70,2158.69,11.27,359.78,13802.88
2024-04-26,1,6728.72,807.45,41.92,336.44,7241.65
2024-04-26,1,5486.57,658.39,13.31,0.00,6158.27
2024-04-27,1,11104.36,1332.52,46.19,333.13,12149.94
2024-04-27,1,7487.17,898.46,56.31,0.00,8441.94
2024-04-28,1,152.57,18.31,22.03,0.00,192.91
2024-04-28,1,9704.10,1746.74,124.26,0.00,11575.10
2024-04-29,1,740017.08,133203.07,2765.60,37000.85,838984.90
2024-04-30,1,3900.96,702.17,9.41,195.05,4417.49
2024-04-30,1,5749.89,1034.98,51.87,172.50,6664.24
2024-04-30,1,9905.75,1188.69,26.28,0.00,11120.72
2024-05-01,1,647.15,32.36,1.31,0.00,680.82
2024-05-03,1,12748.57,2294.74,16.13,0.00,15059.44
2024-05-04,1,6063.02,1091.34,21.13,181.89,6993.60
2024-05-06,1,5569.03,668.28,32.59,167.07,6102.83
2024-05-07,1,7184.58,862.15,22.56,0.00,8069.29
2024-05-07,1,1400.94,70.05,21.00,0.00,1491.99
2024-05-07,1,1954.66,97.73,61.43,97.73,2016.09
2024-05-08,1,5201.17,260.06,17.38,156.04,5322.57
2024-05-09,1,2040.80,102.04,2.02,102.04,2042.82
2024-05-09,1,9089.32,1636.08,31.89,272.68,10484.61
2024-05-09,1,7958.30,1432.49,30.86,0.00,9421.65
2024-05-10,1,203386.53,36609.58,3618.27,0.00,243614.38
2024-05-11,1,790.99,39.55,23.65,0.00,854.19
2024-05-11,1,510.34,25.52,26.67,0.00,562.53
2024-05-11,1,3022.09,362.65,9.86,151.10,3243.50
2024-05-13,1,4266.16,213.31,6.20,127.98,4357.69
2024-05-14,1,5750.07,1035.01,32.17,172.50,6644.75
2024-05-14,1,4005.01,720.90,41.73,120.15,4647.49
2024-05-14,1,390732.36,19536.62,270.17,0.00,410539.15
2024-05-16,1,10694.90,534.75,1.47,534.75,10696.37
2024-05-16,1,1867.46,93.37,22.77,56.02,1927.58
2024-05-16,1,121860.12,6093.01,3639.34,0.00,131592.47
2024-05-16,1,9754.52,1170.54,8.93,487.73,10446.26
2024-05-17,1,12540.05,1504.81,47.75,627.00,13465.61
2024-05-18,1,5941.49,297.07,65.61,178.24,6125.93
2024-05-18,1,2683.23,321.99,36.63,134.16,2907.69
2024-05-18,1,1439.18,71.96,7.08,0.00,1518.22
2024-05-18,1,2026.70,101.33,18.30,0.00,2146.33
2024-05-19,1,7809.44,1405.70,28.35,390.47,8853.02
2024-05-19,1,2477.53,297.30,18.17,0.00,2793.00
2024-05-19,1,2824.13,338.90,41.21,0.00,3204.24
2024-05-19,1,7255.60,1306.01,8.94,0.00,8570.55
2024-05-20,1,5335.14,960.33,28.12,0.00,6323.59
2024-05-20,1,9637.43,1156.49,15.88,481.87,10327.93
2024-05-20,1,1139.40,56.97,11.36,34.18,1173.55
2024-05-21,1,7704.32,385.22,1.59,385.22,7705.91
2024-05-21,1,2019.76,242.37,48.29,0.00,2310.42
2024-05-21,1,508508.12,61020.97,3779.44,25425.41,547883.12
2024-05-21,1,9539.42,476.97,9.93,0.00,10026.32
2024-05-22,1,13798.31,1655.80,179.60,413.95,15219.76
2024-05-22,1,83546.27,10025.55,3116.26,0.00,96688.08
2024-05-23,1,5292.00,952.56,38.41,158.76,6124.21
2024-05-24,1,15772.97,1892.76,42.66,0.00,17708.39
2024-05-24,1,9615.66,480.78,25.31,0.00,10121.75
2024-05-24,1,13670.40,683.52,20.35,0.00,14374.27
2024-05-24,1,8119.03,974.28,43.82,405.95,8731.18
2024-05-24,1,115.40,5.77,26.44,5.77,141.84
2024-05-24,1,5173.20,931.18,47.74,0.00,6152.12
2024-05-25,1,7742.32,929.08,125.88,0.00,8797.28
2024-05-25,1,1529.86,183.58,28.54,0.00,1741.98
2024-05-26,1,988.54,49.43,3.18,49.43,991.72
2024-05-26,1,7872.98,393.65,8.35,236.19,8038.79
2024-05-26,1,2485.87,447.46,7.66,124.29,2816.70
2024-05-27,1,12581.27,1509.75,13.32,0.00,14104.34
2024-05-27,1,3224.28,386.91,35.14,161.21,3485.12
2024-05-27,1,5146.64,926.40,7.47,154.40,5926.11
2024-05-28,1,2287.17,114.36,25.85,68.62,2358.76
2024-05-29,1,3706.35,667.14,19.69,0.00,4393.18
2024-05-29,1,4635.51,231.78,20.76,0.00,4888.05
2024-05-29,1,11883.90,1426.07,16.41,0.00,13326.38
2024-05-29,1,367631.67,66173.70,1946.47,11028.95,424722.89
2024-05-30,1,8101.90,972.23,4.99,0.00,9079.12
2024-05-30,1,526827.88,94829.02,3081.39,0.00,624738.29
2024-05-30,1,5667.45,680.09,27.75,0.00,6375.29
2024-05-31,1,4257.61,212.88,20.46,212.88,4278.07
2024-06-01,1,557.52,66.90,43.24,16.73,650.93
2024-06-01,1,3738.68,448.64,9.20,0.00,4196.52
2024-06-01,1,7379.91,885.59,13.37,0.00,8278.87
2024-06-02,1,3929.43,471.53,62.51,0.00,4463.47
2024-06-03,1,5035.25,251.76,25.94,251.76,5061.19
2024-06-03,1,6116.05,305.80,36.47,0.00,6458.32
2024-06-03,1,1743.28,209.19,24.64,52.30,1924.81
2024-06-03,1,10252.80,1230.34,50.50,0.00,11533.64
2024-06-04,1,2435.88,121.79,14.36,0.00,2572.03
2024-06-05,1,668769.55,120378.52,2178.05,0.00,791326.12
2024-06-06,1,122003.85,21960.69,730.82,3660.12,141035.24
2024-06-06,1,8668.63,433.43,8.24,260.06,8850.24
2024-06-07,1,2704.45,486.80,39.64,81.13,3149.76
2024-06-07,1,1987.97,238.56,27.95,0.00,2254.48
2024-06-07,1,632.31,113.82,29.38,0.00,775.51
2024-06-07,1,7550.62,1359.11,15.65,226.52,8698.86
2024-06-07,1,5109.25,255.46,9.81,0.00,5374.52
2024-06-08,1,2061.06,370.99,27.06,0.00,2459.11
2024-06-09,1,9797.85,1763.61,123.22,489.89,11194.79
2024-06-10,1,1158.06,57.90,36.13,34.74,1217.35
2024-06-10,1,190735.16,9536.76,3374.23,0.00,203646.15
2024-06-12,1,6692.20,803.06,18.99,334.61,7179.64
2024-06-12,1,18059.00,902.95,10.54,902.95,18069.54
2024-06-13,1,32983.59,5937.05,176.49,1649.18,37447.95
2024-06-13,1,2441.11,439.40,25.70,0.00,2906.21
2024-06-13,1,17044.54,2045.34,147.43,0.00,19237.31
2024-06-14,1,352989.40,42358.73,3325.08,0.00,398673.21
2024-06-14,1,2372.91,118.65,29.58,71.19,2449.95
2024-06-14,1,259821.00,31178.52,3456.22,12991.05,281464.69
2024-06-16,1,3851.00,462.12,25.74,115.53,4223.33
2024-06-16,1,7994.90,399.75,23.65,239.85,8178.45
2024-06-17,1,1860.14,93.01,132.09,55.80,2029.44
2024-06-17,1,1970.67,354.72,35.83,0.00,2361.22
2024-06-18,1,445486.78,22274.34,799.90,0.00,468561.02
2024-06-18,1,18251.56,3285.28,27.25,547.55,21016.54
2024-06-18,1,744273.92,89312.87,3380.20,0.00,836966.99
2024-06-18,1,10915.23,1309.83,8.61,0.00,12233.67
2024-06-18,1,194280.48,34970.49,900.38,5828.41,224322.94
2024-06-19,1,1984.91,238.19,36.39,0.00,2259.49
2024-06-19,1,406736.45,73212.56,2857.49,20336.82,462469.68
2024-06-21,1,7021.60,351.08,48.97,351.08,7070.57
2024-06-21,1,336338.52,60540.93,3520.66,0.00,400400.11
2024-06-22,1,423345.79,21167.29,1833.65,21167.29,425179.44
2024-06-25,1,6579.30,1184.27,32.15,197.38,7598.34
2024-06-25,1,1753.24,315.58,36.00,0.00,2104.82
2024-06-25,1,6497.86,779.74,26.05,194.94,7108.71
2024-06-26,1,324760.95,58456.97,1612.55,0.00,384830.47
2024-06-26,1,2940.46,529.28,8.98,147.02,3331.70
2024-06-26,1,13281.25,1593.75,36.11,398.44,14512.67
2024-06-26,1,5478.09,657.37,18.66,0.00,6154.12
2024-06-26,1,15273.91,763.70,17.11,763.70,15291.02
2024-06-26,1,6583.20,1184.98,62.83,329.16,7501.85
2024-06-26,1,746318.12,89558.17,1711.52,0.00,837587.81
2024-06-27,1,6464.62,323.23,3.98,323.23,6468.60
2024-06-27,1,4700.73,564.09,0.82,141.02,5124.62
2024-06-28,1,4286.16,514.34,34.74,0.00,4835.24
2024-06-28,1,5176.16,931.71,44.08,0.00,6151.95
2024-06-28,1,18099.98,2172.00,20.79,905.00,19387.77
2024-06-29,1,4578.49,824.13,176.10,137.35,5441.37
2024-06-30,1,4688.70,562.64,3.35,0.00,5254.69
2024-07-01,1,322919.01,58125.42,3036.68,16145.95,367935.16
2024-07-01,1,10826.10,541.31,60.10,0.00,11427.51
2024-07-02,1,5125.37,256.27,44.38,0.00,5426.02
2024-07-02,1,2246.53,404.38,5.70,0.00,2656.61
2024-07-02,1,495399.64,59447.96,1568.58,0.00,556416.18
2024-07-03,1,1142219.32,205599.48,3700.52,57110.97,1294408.35
2024-07-03,1,6893.29,1240.79,10.71,344.66,7800.13
2024-07-04,1,5170.64,930.72,6.68,155.12,5952.92
2024-07-04,1,1698.98,203.88,44.83,0.00,1947.69
2024-07-05,1,13791.41,1654.97,141.82,0.00,15588.20
2024-07-05,1,1622.14,81.11,25.17,48.66,1679.76
2024-07-07,1,102331.41,18419.65,271.32,0.00,121022.38
2024-07-07,1,22026.57,1101.33,105.74,1101.33,22132.31
2024-07-07,1,12929.65,2327.34,141.76,387.89,15010.86
2024-07-07,1,5259.26,262.96,26.46,157.78,5390.90
2024-07-09,1,8492.82,1019.14,66.59,0.00,9578.55
2024-07-09,1,939.19,112.70,26.95,0.00,1078.84
2024-07-09,1,6701.43,1206.26,46.18,335.07,7618.80
2024-07-09,1,4076.88,489.23,17.91,0.00,4584.02
2024-07-10,1,327.88,16.39,11.52,16.39,339.40
2024-07-10,1,20358.21,3664.48,23.46,0.00,24046.15
2024-07-10,1,3399.60,407.95,28.74,0.00,3836.29
2024-07-10,1,4948.70,247.44,31.11,0.00,5227.25
2024-07-11,1,1035.25,51.76,3.45,0.00,1090.46
2024-07-11,1,2956.99,532.26,10.58,88.71,3411.12
2024-07-11,1,1310.54,157.26,29.34,39.32,1457.82
2024-07-11,1,8505.35,1530.96,13.36,0.00,10049.67
2024-07-11,1,627.59,75.31,47.55,31.38,719.07
2024-07-12,1,848179.56,101781.55,278.33,0.00,950239.44
2024-07-12,1,5098.01,917.64,39.14,0.00,6054.79
2024-07-12,1,5561.90,1001.14,3.09,166.86,6399.27
2024-07-13,1,453290.04,22664.50,2019.12,22664.50,455309.16
2024-07-13,1,7773.69,932.84,11.23,233.21,8484.55
2024-07-14,1,9304.08,465.20,115.90,0.00,9885.18
2024-07-15,1,683393.72,34169.69,1804.26,34169.69,685197.98
2024-07-15,1,5146.46,617.58,13.71,154.39,5623.36
2024-07-15,1,2817.30,338.08,25.71,0.00,3181.09
2024-07-15,1,3002.49,540.45,13.87,90.07,3466.74
2024-07-16,1,7664.96,1379.69,29.83,0.00,9074.48
2024-07-17,1,28676.70,1433.84,181.12,1433.84,28857.82
2024-07-18,1,12746.98,637.35,161.35,0.00,13545.68
2024-07-18,1,4115.16,740.73,8.60,0.00,4864.49
2024-07-19,1,367.70,44.12,31.20,0.00,443.02
2024-07-19,1,150.48,27.09,3.15,4.51,176.21
2024-07-19,1,11389.02,2050.02,48.08,0.00,13487.12
2024-07-19,1,1654.45,198.53,24.16,82.72,1794.42
2024-07-20,1,7202.42,360.12,57.00,216.07,7403.47
2024-07-20,1,3460.13,173.01,5.29,103.80,3534.63
2024-07-20,1,32319.44,5817.50,81.82,969.58,37249.18
2024-07-21,1,7415.38,1334.77,27.64,0.00,8777.79
2024-07-21,1,26317.58,3158.11,94.31,789.53,28780.47
2024-07-22,1,5582.87,279.14,27.49,0.00,5889.50
2024-07-22,1,9771.68,488.58,150.36,488.58,9922.04
2024-07-23,1,8281.63,993.80,28.77,0.00,9304.20
2024-07-23,1,805371.58,40268.58,715.61,0.00,846355.77
2024-07-23,1,315615.26,56810.75,3948.28,0.00,376374.29
2024-07-24,1,4379.10,525.49,1.25,0.00,4905.84
2024-07-25,1,83819.31,10058.32,3669.04,0.00,97546.67
2024-07-25,1,9420.46,1130.46,49.86,0.00,10600.78
2024-07-25,1,2840.30,142.02,14.70,142.02,2855.00
2024-07-25,1,420689.53,75724.12,3338.01,21034.48,478717.18
